,Stadium,Team1,Team2,Won,Year
0,DY Patil Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2008
1,Wankhede Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2008
2,Wankhede Stadium ,Delhi Daredevils,Rajasthan Royals,RR   ,2008
3,IS Bindra Stadium ,Punjab Kings,Rajasthan Royals,PBKS   ,2008
4,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2008
5,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Chennai Super Kings,CSK   ,2008
6,Sawai Mansingh Stadium ,Rajasthan Royals,Mumbai Indians,RR   ,2008
7,Eden Gardens ,Kolkata Knight Riders,Punjab Kings,KKR   ,2008
8,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Royal Challengers Bangalore,RCB   ,2008
9,Arun Jaitley Stadium ,Delhi Daredevils,Mumbai Indians,DC   ,2008
10,M. A. Chidambaram Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2008
11,IS Bindra Stadium ,Punjab Kings,Deccan Chargers,PBKS   ,2008
12,Arun Jaitley Stadium ,Delhi Daredevils,Kolkata Knight Riders,No Result,2008
13,M. A. Chidambaram Stadium ,Chennai Super Kings,Royal Challengers Bangalore,RCB   ,2008
14,Wankhede Stadium ,Mumbai Indians,Punjab Kings,PBKS   ,2008
15,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,RR   ,2008
16,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Delhi Daredevils,DC   ,2008
17,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Mumbai Indians,MI   ,2008
18,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2008
19,Arun Jaitley Stadium ,Delhi Daredevils,Punjab Kings,PBKS   ,2008
20,Sawai Mansingh Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2008
21,Wankhede Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2008
22,Arun Jaitley Stadium ,Delhi Daredevils,Deccan Chargers,DC   ,2008
23,Wankhede Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2008
24,Eden Gardens ,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2008
25,IS Bindra Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2008
26,Sawai Mansingh Stadium ,Rajasthan Royals,Delhi Daredevils,RR   ,2008
27,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Kolkata Knight Riders,KKR   ,2008
28,M. A. Chidambaram Stadium ,Chennai Super Kings,Punjab Kings,CSK   ,2008
29,Sawai Mansingh Stadium ,Rajasthan Royals,Deccan Chargers,RR   ,2008
30,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2008
31,Arun Jaitley Stadium ,Delhi Daredevils,Chennai Super Kings,CSK   ,2008
32,DY Patil Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2008
33,M. A. Chidambaram Stadium ,Chennai Super Kings,Deccan Chargers,SRH   ,2008
34,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2008
35,Sawai Mansingh Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2008
36,DY Patil Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2008
37,IS Bindra Stadium ,Punjab Kings,Kolkata Knight Riders,PBKS   ,2008
38,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Deccan Chargers,RCB   ,2008
39,M. A. Chidambaram Stadium ,Chennai Super Kings,Delhi Daredevils,DC   ,2008
40,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Punjab Kings,PBKS   ,2008
41,Sawai Mansingh Stadium ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2008
42,Arun Jaitley Stadium ,Delhi Daredevils,Royal Challengers Bangalore,DC   ,2008
43,Eden Gardens ,Kolkata Knight Riders,Mumbai Indians,MI   ,2008
44,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2008
45,DY Patil Stadium ,Mumbai Indians,Deccan Chargers,SRH   ,2008
46,IS Bindra Stadium ,Punjab Kings,Delhi Daredevils,PBKS   ,2008
47,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RR   ,2008
48,M. A. Chidambaram Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2008
49,IS Bindra Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2008
50,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Rajasthan Royals,RR   ,2008
51,M. A. Chidambaram Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2008
52,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Delhi Daredevils,DC   ,2008
53,Sawai Mansingh Stadium ,Rajasthan Royals,Punjab Kings,RR   ,2008
54,Wankhede Stadium ,Mumbai Indians,Royal Challengers Bangalore,RCB   ,2008
55,Eden Gardens ,Kolkata Knight Riders,Deccan Chargers,KKR   ,2008
56,Arun Jaitley Stadium ,Delhi Daredevils,Rajasthan Royals,DC   ,2008
57,IS Bindra Stadium ,Punjab Kings,Chennai Super Kings,CSK   ,2008
58,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2008
59,New Wanderers Stadium ,Royal Challengers Bangalore,Deccan Chargers,SRH   ,2009
60,New Wanderers Stadium ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2009
61,SuperSport Park ,Delhi Daredevils,Deccan Chargers,SRH   ,2009
62,SuperSport Park ,Royal Challengers Bangalore,Deccan Chargers,RCB   ,2009
63,SuperSport Park ,Delhi Daredevils,Mumbai Indians,DC   ,2009
64,Kingsmead ,Chennai Super Kings,Punjab Kings,CSK   ,2009
65,Kingsmead ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2009
66,New Wanderers Stadium ,Royal Challengers Bangalore,Delhi Daredevils,RCB   ,2009
67,SuperSport Park ,Chennai Super Kings,Kolkata Knight Riders,KKR   ,2009
68,OUTsurance Oval ,Delhi Daredevils,Rajasthan Royals,DC   ,2009
69,New Wanderers Stadium ,Deccan Chargers,Punjab Kings,PBKS   ,2009
70,New Wanderers Stadium ,Deccan Chargers,Kolkata Knight Riders,SRH   ,2009
71,OUTsurance Oval ,Chennai Super Kings,Mumbai Indians,CSK   ,2009
72,Kingsmead ,Delhi Daredevils,Punjab Kings,PBKS   ,2009
73,Kingsmead ,Mumbai Indians,Rajasthan Royals,RR   ,2009
74,Kingsmead ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2009
75,SuperSport Park ,Deccan Chargers,Delhi Daredevils,DC   ,2009
76,SuperSport Park ,Punjab Kings,Mumbai Indians,MI   ,2009
77,De Beers Diamond Oval ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2009
78,New Wanderers Stadium ,Deccan Chargers,Rajasthan Royals,SRH   ,2009
79,De Beers Diamond Oval ,Delhi Daredevils,Kolkata Knight Riders,DC   ,2009
80,De Beers Diamond Oval ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2009
81,Buffalo Park ,Chennai Super Kings,Rajasthan Royals,CSK   ,2009
82,SuperSport Park ,Deccan Chargers,Punjab Kings,PBKS   ,2009
83,SuperSport Park ,Delhi Daredevils,Mumbai Indians,DC   ,2009
84,SuperSport Park ,Chennai Super Kings,Punjab Kings,CSK   ,2009
85,Kingsmead ,Royal Challengers Bangalore,Rajasthan Royals,RR   ,2009
86,Kingsmead ,Deccan Chargers,Mumbai Indians,SRH   ,2009
87,Buffalo Park ,Delhi Daredevils,Kolkata Knight Riders,DC   ,2009
88,New Wanderers Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2009
89,New Wanderers Stadium ,Chennai Super Kings,Deccan Chargers,CSK   ,2009
90,Kingsmead ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2009
91,Buffalo Park ,Punjab Kings,Kolkata Knight Riders,PBKS   ,2009
92,SuperSport Park ,Chennai Super Kings,Delhi Daredevils,CSK   ,2009
93,SuperSport Park ,Deccan Chargers,Rajasthan Royals,RR   ,2009
94,Kingsmead ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2009
95,Kingsmead ,Kolkata Knight Riders,Mumbai Indians,MI   ,2009
96,SuperSport Park ,Chennai Super Kings,Rajasthan Royals,CSK   ,2009
97,Kingsmead ,Deccan Chargers,Delhi Daredevils,DC   ,2009
98,Newlands ,Punjab Kings,Mumbai Indians,PBKS   ,2009
99,Newlands ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2009
100,Kingsmead ,Delhi Daredevils,Rajasthan Royals,RR   ,2009
101,Kingsmead ,Kolkata Knight Riders,Mumbai Indians,MI   ,2009
102,Newlands ,Chennai Super Kings,Deccan Chargers,SRH   ,2009
103,Kingsmead ,Punjab Kings,Rajasthan Royals,PBKS   ,2009
104,Newlands ,Royal Challengers Bangalore,Delhi Daredevils,DC   ,2009
105,Kingsmead ,Chennai Super Kings,Kolkata Knight Riders,No Result,2009
106,Kingsmead ,Deccan Chargers,Mumbai Indians,SRH   ,2009
107,Newlands ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2009
108,Newlands ,Kolkata Knight Riders,Rajasthan Royals,RR,2009
109,Newlands ,Chennai Super Kings,Delhi Daredevils,DC   ,2009
110,Newlands ,Royal Challengers Bangalore,Deccan Chargers,SRH   ,2009
111,Other,Mumbai Indians,Rajasthan Royals,No Result,2009
112,Other,Punjab Kings,Kolkata Knight Riders,KKR   ,2009
113,Other,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2009
114,Other,Deccan Chargers,Kolkata Knight Riders,SRH   ,2009
115,Other,Delhi Daredevils,Punjab Kings,DD   ,2009
116,Other,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2009
117,Other,Chennai Super Kings,Mumbai Indians,MI   ,2009
118,DY Patil Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2010
119,DY Patil Stadium ,Royal Challengers Bangalore,Deccan Chargers,RCB   ,2010
120,DY Patil Stadium ,Chennai Super Kings,Deccan Chargers,CSK   ,2010
121,DY Patil Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2010
122,Eden Gardens ,Kolkata Knight Riders,Mumbai Indians,KKR   ,2010
123,Arun Jaitley Stadium ,Delhi Daredevils,Deccan Chargers,SRH   ,2010
124,HPCA Stadium ,Punjab Kings,Chennai Super Kings,CSK   ,2010
125,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2010
126,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2010
127,HPCA Stadium ,Punjab Kings,Deccan Chargers,SRH   ,2010
128,M. A. Chidambaram Stadium ,Chennai Super Kings,Delhi Daredevils,DC   ,2010
129,Sawai Mansingh Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2010
130,M. A. Chidambaram Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2010
131,Brabourne Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2010
132,Vidarbha Cricket Association Stadium ,Deccan Chargers,Royal Challengers Bangalore,SRH   ,2010
133,Sawai Mansingh Stadium ,Rajasthan Royals,Mumbai Indians,MI   ,2010
134,Arun Jaitley Stadium ,Delhi Daredevils,Punjab Kings,PBKS   ,2010
135,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2010
136,Vidarbha Cricket Association Stadium ,Deccan Chargers,Chennai Super Kings,SRH   ,2010
137,IS Bindra Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2010
138,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Deccan Chargers,SRH   ,2010
139,Eden Gardens ,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2010
140,Sawai Mansingh Stadium ,Rajasthan Royals,Punjab Kings,RR   ,2010
141,M. A. Chidambaram Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2010
142,Vidarbha Cricket Association Stadium ,Deccan Chargers,Rajasthan Royals,RR   ,2010
143,Arun Jaitley Stadium ,Delhi Daredevils,Royal Challengers Bangalore,DC   ,2010
144,Eden Gardens ,Kolkata Knight Riders,Punjab Kings,PBKS   ,2010
145,Brabourne Stadium ,Mumbai Indians,Deccan Chargers,MI   ,2010
146,M. A. Chidambaram Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2010
147,IS Bindra Stadium ,Punjab Kings,Royal Challengers Bangalore,RCB   ,2010
148,Eden Gardens ,Kolkata Knight Riders,Deccan Chargers,KKR   ,2010
149,Arun Jaitley Stadium ,Delhi Daredevils,Rajasthan Royals,DC   ,2010
150,M. A. Chidambaram Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2010
151,Brabourne Stadium ,Mumbai Indians,Punjab Kings,MI   ,2010
152,Arun Jaitley Stadium ,Delhi Daredevils,Kolkata Knight Riders,DC   ,2010
153,DY Patil Stadium ,Deccan Chargers,Mumbai Indians,MI   ,2010
154,Narendra Modi Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2010
155,IS Bindra Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2010
156,Narendra Modi Stadium ,Rajasthan Royals,Deccan Chargers,RR   ,2010
157,Brabourne Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2010
158,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Delhi Daredevils,DC   ,2010
159,IS Bindra Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2010
160,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2010
161,Brabourne Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2010
162,M. A. Chidambaram Stadium ,Chennai Super Kings,Punjab Kings,PBKS ,2010
163,Barabati Stadium ,Deccan Chargers,Delhi Daredevils,SRH   ,2010
164,Brabourne Stadium ,Mumbai Indians,Royal Challengers Bangalore,RCB   ,2010
165,Narendra Modi Stadium ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2010
166,Barabati Stadium ,Deccan Chargers,Punjab Kings,SRH   ,2010
167,Arun Jaitley Stadium ,Delhi Daredevils,Chennai Super Kings,CSK   ,2010
168,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2010
169,Arun Jaitley Stadium ,Delhi Daredevils,Mumbai Indians,MI   ,2010
170,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2010
171,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2010
172,Narendra Modi Stadium ,Rajasthan Royals,Delhi Daredevils,DC   ,2010
173,M. A. Chidambaram Stadium ,Chennai Super Kings,Deccan Chargers,SRH   ,2010
174,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2010
175,IS Bindra Stadium ,Punjab Kings,Delhi Daredevils,DC   ,2010
176,Brabourne Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2010
177,DY Patil Stadium ,Deccan Chargers,Kolkata Knight Riders,KKR   ,2010
178,M. A. Chidambaram Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2011
179,M. A. Chidambaram Stadium ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2011
180,Wankhede Stadium ,Kolkata Knight Riders,Mumbai Indians,MI   ,2011
181,Wankhede Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2011
182,Eden Gardens ,Kolkata Knight Riders,Mumbai Indians,MI   ,2011
183,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2011
184,Arun Jaitley Stadium ,Delhi Daredevils,Pune Warriors India,No Result,2011
185,HPCA Stadium ,Punjab Kings,Deccan Chargers,SRH   ,2011
186,Wankhede Stadium ,Mumbai Indians,Rajasthan Royals,RR   ,2011
187,DY Patil Stadium ,Pune Warriors India,Kolkata Knight Riders,KKR   ,2011
188,M. A. Chidambaram Stadium ,Chennai Super Kings,Kochi Tuskers Kerala,CSK   ,2011
189,HPCA Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2011
190,DY Patil Stadium ,Pune Warriors India,Deccan Chargers,SRH   ,2011
191,Holkar Cricket Stadium ,Kochi Tuskers Kerala,Rajasthan Royals,KTK   ,2011
192,HPCA Stadium ,Punjab Kings,Delhi Daredevils,PBKS   ,2011
193,Wankhede Stadium ,Mumbai Indians,Deccan Chargers,SRH   ,2011
194,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2011
195,Holkar Cricket Stadium ,Kochi Tuskers Kerala,Punjab Kings,PBKS   ,2011
196,M. A. Chidambaram Stadium ,Chennai Super Kings,Delhi Daredevils,CSK   ,2011
197,Sawai Mansingh Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2011
198,IS Bindra Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2011
199,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Pune Warriors India,PW   ,2011
200,Sawai Mansingh Stadium ,Rajasthan Royals,Chennai Super Kings,CSK   ,2011
201,IS Bindra Stadium ,Punjab Kings,Pune Warriors India,PW   ,2011
202,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Kochi Tuskers Kerala,RCB   ,2011
203,Wankhede Stadium ,Mumbai Indians,Delhi Daredevils,MI   ,2011
204,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2011
205,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2011
206,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Delhi Daredevils,DC   ,2011
207,Jawaharlal Nehru Stadium ,Kochi Tuskers Kerala,Kolkata Knight Riders,KTK   ,2011
208,DY Patil Stadium ,Pune Warriors India,Mumbai Indians,MI   ,2011
209,M. A. Chidambaram Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2011
210,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Kolkata Knight Riders,KKR   ,2011
211,Arun Jaitley Stadium ,Delhi Daredevils,Kochi Tuskers Kerala,KTK   ,2011
212,Wankhede Stadium ,Mumbai Indians,Punjab Kings,MI   ,2011
213,M. A. Chidambaram Stadium ,Chennai Super Kings,Deccan Chargers,CSK   ,2011
214,Sawai Mansingh Stadium ,Rajasthan Royals,Pune Warriors India,RR   ,2011
215,Eden Gardens ,Kolkata Knight Riders,Punjab Kings,KKR   ,2011
216,Jawaharlal Nehru Stadium ,Kochi Tuskers Kerala,Delhi Daredevils,DC   ,2011
217,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Pune Warriors India,RCB   ,2011
218,Sawai Mansingh Stadium ,Rajasthan Royals,Mumbai Indians,RR   ,2011
219,Arun Jaitley Stadium ,Delhi Daredevils,Kolkata Knight Riders,KKR   ,2011
220,Jawaharlal Nehru Stadium ,Kochi Tuskers Kerala,Deccan Chargers,SRH   ,2011
221,DY Patil Stadium ,Pune Warriors India,Chennai Super Kings,CSK   ,2011
222,Arun Jaitley Stadium ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2011
223,M. A. Chidambaram Stadium ,Chennai Super Kings,Pune Warriors India,CSK   ,2011
224,Sawai Mansingh Stadium ,Rajasthan Royals,Kochi Tuskers Kerala,RR   ,2011
225,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Mumbai Indians,MI   ,2011
226,Arun Jaitley Stadium ,Delhi Daredevils,Punjab Kings,DC   ,2011
227,Wankhede Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2011
228,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,RCB   ,2011
229,IS Bindra Stadium ,Punjab Kings,Rajasthan Royals,PBKS   ,2011
230,Eden Gardens ,Kolkata Knight Riders,Kochi Tuskers Kerala,KTK   ,2011
231,Wankhede Stadium ,Mumbai Indians,Pune Warriors India,MI   ,2011
232,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,No Result,2011
233,Arun Jaitley Stadium ,Delhi Daredevils,Deccan Chargers,SRH   ,2011
234,Jawaharlal Nehru Stadium ,Kochi Tuskers Kerala,Chennai Super Kings,KTK   ,2011
235,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2011
236,DY Patil Stadium ,Pune Warriors India,Delhi Daredevils,DC   ,2011
237,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Punjab Kings,PBKS   ,2011
238,M. A. Chidambaram Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2011
239,Wankhede Stadium ,Mumbai Indians,Kochi Tuskers Kerala,KTK   ,2011
240,Sawai Mansingh Stadium ,Rajasthan Royals,Kolkata Knight Riders,KKR   ,2011
241,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Royal Challengers Bangalore,SRH   ,2011
242,DY Patil Stadium ,Pune Warriors India,Kochi Tuskers Kerala,PW   ,2011
243,IS Bindra Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2011
244,M. Chinnaswamy Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2011
245,Sawai Mansingh Stadium ,Rajasthan Royals,Delhi Daredevils,RR   ,2011
246,Eden Gardens ,Kolkata Knight Riders,Deccan Chargers,KKR   ,2011
247,DY Patil Stadium ,Pune Warriors India,Punjab Kings,PW   ,2011
248,Arun Jaitley Stadium ,Delhi Daredevils,Mumbai Indians,MI   ,2011
249,Jawaharlal Nehru Stadium ,Kochi Tuskers Kerala,Royal Challengers Bangalore,RCB   ,2011
250,Rajiv Gandhi Intl. Cricket Stadium ,Deccan Chargers,Rajasthan Royals,RR   ,2011
251,M. A. Chidambaram Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2011
252,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2012
253,M. A. Chidambaram Stadium ,Chennai Super Kings,Delhi Daredevils,CSK   ,2012
254,M. Chinnaswamy Stadium ,Mumbai Indians,Chennai Super Kings,CSK   ,2012
255,Sawai Mansingh Stadium ,Delhi Daredevils,Kolkata Knight Riders,KKR   ,2012
256,Rajiv Gandhi Intl. Cricket Stadium ,Rajasthan Royals,Mumbai Indians,MI   ,2012
257,HPCA Stadium ,Deccan Chargers,Royal Challengers Bangalore,SRH   ,2012
258,Rajiv Gandhi Intl. Cricket Stadium ,Pune Warriors India,Kolkata Knight Riders,KKR   ,2012
259,Arun Jaitley Stadium ,Punjab Kings,Delhi Daredevils,DC   ,2012
260,HPCA Stadium ,Deccan Chargers,Rajasthan Royals,SRH   ,2012
261,Wankhede Stadium ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2012
262,Arun Jaitley Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2012
263,Eden Gardens ,Mumbai Indians,Kolkata Knight Riders,KKR   ,2012
264,M. Chinnaswamy Stadium ,Delhi Daredevils,Punjab Kings,DC   ,2012
265,IS Bindra Stadium ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2012
266,Sawai Mansingh Stadium ,Royal Challengers Bangalore,Mumbai Indians,MI   ,2012
267,M. A. Chidambaram Stadium ,Punjab Kings,Deccan Chargers,PBKS   ,2012
