,Stadium,Team1,Team2,Won,Year
783,Dubai International Cricket Stadium ,Rajasthan Royals,Sunrisers Hyderabad,SRH   ,2020
784,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Royal Challengers Bangalore,RCB   ,2020
785,Dubai International Cricket Stadium ,Punjab Kings,Delhi Capitals,PBKS   ,2020
786,Sheikh Zayed Cricket Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2020
787,Dubai International Cricket Stadium ,Mumbai Indians,Punjab Kings,Match Tied ,2020
788,Sheikh Zayed Cricket Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,Match Tied ,2020
789,Sharjah Cricket Stadium ,Delhi Capitals,Chennai Super Kings,DC   ,2020
790,Dubai International Cricket Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2020
791,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2020
792,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2020
793,Dubai International Cricket Stadium ,Delhi Capitals,Rajasthan Royals,DC   ,2020
794,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2020
795,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2020
796,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Delhi Capitals,MI   ,2020
797,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Rajasthan Royals,RR   ,2020
798,Dubai International Cricket Stadium ,Chennai Super Kings,Royal Challengers Bangalore,RCB   ,2020
799,Sheikh Zayed Cricket Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2020
800,Sharjah Cricket Stadium ,Rajasthan Royals,Delhi Capitals,DC   ,2020
801,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2020
802,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Chennai Super Kings,KKR   ,2020
803,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2020
804,Dubai International Cricket Stadium ,Royal Challengers Bangalore,Delhi Capitals,DC   ,2020
805,Dubai International Cricket Stadium ,Punjab Kings,Chennai Super Kings,CSK   ,2020
806,Sharjah Cricket Stadium ,Mumbai Indians,Sunrisers Hyderabad,MI   ,2020
807,Sharjah Cricket Stadium ,Delhi Capitals,Kolkata Knight Riders,DC   ,2020
808,Sheikh Zayed Cricket Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2020
809,Dubai International Cricket Stadium ,Chennai Super Kings,Sunrisers Hyderabad,SRH   ,2020
810,Sheikh Zayed Cricket Stadium ,Punjab Kings,Mumbai Indians,MI   ,2020
811,Dubai International Cricket Stadium ,Rajasthan Royals,Kolkata Knight Riders,KKR   ,2020
812,Sheikh Zayed Cricket Stadium ,Delhi Capitals,Sunrisers Hyderabad,SRH   ,2020
813,Dubai International Cricket Stadium ,Royal Challengers Bangalore,Mumbai Indians,Match Tied ,2020
814,Sharjah Cricket Stadium ,Rajasthan Royals,Punjab Kings,RR   ,2020
815,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2020
816,Dubai International Cricket Stadium ,Chennai Super Kings,Delhi Capitals,DC   ,2020
817,Dubai International Cricket Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2020
818,Sheikh Zayed Cricket Stadium ,Kolkata Knight Riders,Mumbai Indians,MI   ,2020
819,Sharjah Cricket Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2020
820,Dubai International Cricket Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,RCB   ,2020
821,Dubai International Cricket Stadium ,Delhi Capitals,Punjab Kings,Match Tied ,2020
822,Sheikh Zayed Cricket Stadium ,Mumbai Indians,Chennai Super Kings,CSK   ,2020
823,Dubai International Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2021
824,Sharjah Cricket Stadium ,Kolkata Knight Riders,Delhi Capitals,KKR   ,2021
825,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2021
826,Dubai International Stadium ,Delhi Capitals,Chennai Super Kings,CSK   ,2021
827,Dubai International Stadium ,Royal Challengers Bangalore,Delhi Capitals,RCB   ,2021
828,Zayed Cricket Stadium ,Sunrisers Hyderabad,Mumbai Indians,MI   ,2021
829,Sharjah Cricket Stadium ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2021
830,Dubai International Stadium ,Chennai Super Kings,Punjab Kings,PBKS   ,2021
831,Zayed Cricket Stadium ,Royal Challengers Bangalore,Sunrisers Hyderabad,SRH   ,2021
832,Sharjah Cricket Stadium ,Rajasthan Royals,Mumbai Indians,MI   ,2021
833,Dubai International Stadium ,Delhi Capitals,Chennai Super Kings,DC   ,2021
834,Dubai International Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2021
835,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Punjab Kings,RCB   ,2021
836,Zayed Cricket Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2021
837,Sharjah Cricket Stadium ,Mumbai Indians,Delhi Capitals,DC   ,2021
838,Dubai International Stadium ,Kolkata Knight Riders,Punjab Kings,PBKS   ,2021
839,Sharjah Cricket Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2021
840,Dubai International Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2021
841,Zayed Cricket Stadium ,Mumbai Indians,Punjab Kings,MI   ,2021
842,Sharjah Cricket Stadium ,Kolkata Knight Riders,Delhi Capitals,KKR   ,2021
843,Dubai International Stadium ,Sunrisers Hyderabad,Rajasthan Royals,SRH   ,2021
844,Dubai International Stadium ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2021
845,Zayed Cricket Stadium ,Chennai Super Kings,Kolkata Knight Riders,CSK   ,2021
846,Sharjah Cricket Stadium ,Sunrisers Hyderabad,Punjab Kings,PBKS   ,2021
847,Zayed Cricket Stadium ,Delhi Capitals,Rajasthan Royals,DC   ,2021
848,Sharjah Cricket Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2021
849,Zayed Cricket Stadium ,Mumbai Indians,Kolkata Knight Riders,KKR   ,2021
850,Dubai International Stadium ,Delhi Capitals,Sunrisers Hyderabad,DC   ,2021
851,Dubai International Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2021
852,Zayed Cricket Stadium ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2021
853,Dubai International Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2021
854,Narendra Modi Stadium ,Punjab Kings,Delhi Capitals,DC   ,2021
855,Arun Jaitley Stadium ,Rajasthan Royals,Sunrisers Hyderabad,RR   ,2021
856,Arun Jaitley Stadium ,Mumbai Indians,Chennai Super Kings,MI   ,2021
857,Narendra Modi Stadium ,Punjab Kings,Royal Challengers Bangalore,PBKS   ,2021
858,Narendra Modi Stadium ,Delhi Capitals,Kolkata Knight Riders,DC   ,2021
859,Arun Jaitley Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2021
860,Arun Jaitley Stadium ,Chennai Super Kings,Sunrisers Hyderabad,CSK   ,2021
861,Narendra Modi Stadium ,Delhi Capitals,Royal Challengers Bangalore,RCB   ,2021
862,Narendra Modi Stadium ,Punjab Kings,Kolkata Knight Riders,KKR   ,2021
863,M. A. Chidambaram Stadium ,Sunrisers Hyderabad,Delhi Capitals,Match Tied ,2021
864,Wankhede Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2021
865,Wankhede Stadium ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2021
866,M. A. Chidambaram Stadium ,Punjab Kings,Mumbai Indians,PBKS   ,2021
867,Wankhede Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2021
868,Wankhede Stadium ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2021
869,M. A. Chidambaram Stadium ,Punjab Kings,Sunrisers Hyderabad,SRH   ,2021
870,M. A. Chidambaram Stadium ,Delhi Capitals,Mumbai Indians,DC   ,2021
871,Wankhede Stadium ,Chennai Super Kings,Rajasthan Royals,CSK   ,2021
872,Wankhede Stadium ,Delhi Capitals,Punjab Kings,DC   ,2021
873,M. A. Chidambaram Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2021
874,M. A. Chidambaram Stadium ,Mumbai Indians,Sunrisers Hyderabad,MI   ,2021
875,Wankhede Stadium ,Punjab Kings,Chennai Super Kings,CSK   ,2021
876,Wankhede Stadium ,Rajasthan Royals,Delhi Capitals,RR   ,2021
877,M. A. Chidambaram Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,RCB   ,2021
878,M. A. Chidambaram Stadium ,Kolkata Knight Riders,Mumbai Indians,MI   ,2021
879,Wankhede Stadium ,Rajasthan Royals,Punjab Kings,PBKS   ,2021
880,M. A. Chidambaram Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,KKR   ,2021
881,Wankhede Stadium ,Chennai Super Kings,Delhi Capitals,DC   ,2021
882,M. A. Chidambaram Stadium ,Mumbai Indians,Royal Challengers Bangalore,RCB   ,2021
883,Narendra Modi Stadium ,Gujarat Titans,Rajasthan Royals,GT   ,2022
884,Narendra Modi Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RR   ,2022
885,Eden Gardens ,Lucknow Super Giants,Royal Challengers Bangalore,RCB   ,2022
886,Eden Gardens ,Gujarat Titans,Rajasthan Royals,GT   ,2022
887,Wankhede Stadium ,Sunrisers Hyderabad,Punjab Kings,PBKS   ,2022
888,Wankhede Stadium ,Mumbai Indians,Delhi Capitals,MI   ,2022
889,Brabourne - CCI ,Rajasthan Royals,Chennai Super Kings,RR   ,2022
890,Wankhede Stadium ,Royal Challengers Bangalore,Gujarat Titans,RCB   ,2022
891,DY Patil Stadium ,Kolkata Knight Riders,Lucknow Super Giants,LSG   ,2022
892,Wankhede Stadium ,Mumbai Indians,Sunrisers Hyderabad,SRH   ,2022
893,DY Patil Stadium ,Punjab Kings,Delhi Capitals,DC   ,2022
894,Brabourne - CCI ,Lucknow Super Giants,Rajasthan Royals,RR   ,2022
895,Wankhede Stadium ,Chennai Super Kings,Gujarat Titans,GT   ,2022
896,Maharashtra Cricket Association Stadium ,Kolkata Knight Riders,Sunrisers Hyderabad,KKR   ,2022
897,Brabourne - CCI ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2022
898,Wankhede Stadium ,Chennai Super Kings,Mumbai Indians,MI   ,2022
899,DY Patil Stadium ,Rajasthan Royals,Delhi Capitals,DC   ,2022
900,Maharashtra Cricket Association Stadium ,Lucknow Super Giants,Gujarat Titans,GT   ,2022
901,DY Patil Stadium ,Mumbai Indians,Kolkata Knight Riders,KKR   ,2022
902,DY Patil Stadium ,Chennai Super Kings,Delhi Capitals,CSK   ,2022
903,Wankhede Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,RCB   ,2022
904,Maharashtra Cricket Association Stadium ,Lucknow Super Giants,Kolkata Knight Riders,LSG   ,2022
905,Wankhede Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2022
906,Brabourne - CCI ,Gujarat Titans,Mumbai Indians,MI   ,2022
907,Brabourne - CCI ,Delhi Capitals,Sunrisers Hyderabad,DC   ,2022
908,Maharashtra Cricket Association Stadium ,Royal Challengers Bangalore,Chennai Super Kings,RCB   ,2022
909,DY Patil Stadium ,Gujarat Titans,Punjab Kings,PBKS   ,2022
910,Wankhede Stadium ,Kolkata Knight Riders,Rajasthan Royals,KKR   ,2022
911,Maharashtra Cricket Association Stadium ,Sunrisers Hyderabad,Chennai Super Kings,CSK   ,2022
912,Wankhede Stadium ,Delhi Capitals,Lucknow Super Giants,LSG   ,2022
913,DY Patil Stadium ,Rajasthan Royals,Mumbai Indians,MI   ,2022
914,Brabourne - CCI ,Gujarat Titans,Royal Challengers Bangalore,GT   ,2022
915,Maharashtra Cricket Association Stadium ,Punjab Kings,Lucknow Super Giants,LSG   ,2022
916,Wankhede Stadium ,Delhi Capitals,Kolkata Knight Riders,DC   ,2022
917,Wankhede Stadium ,Gujarat Titans,Sunrisers Hyderabad,GT   ,2022
918,Maharashtra Cricket Association Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RR   ,2022
919,Wankhede Stadium ,Punjab Kings,Chennai Super Kings,PBKS   ,2022
920,Wankhede Stadium ,Lucknow Super Giants,Mumbai Indians,LSG   ,2022
921,Brabourne - CCI ,Royal Challengers Bangalore,Sunrisers Hyderabad,SRH   ,2022
922,DY Patil Stadium ,Kolkata Knight Riders,Gujarat Titans,GT   ,2022
923,Wankhede Stadium ,Delhi Capitals,Rajasthan Royals,RR   ,2022
924,DY Patil Stadium ,Mumbai Indians,Chennai Super Kings,CSK   ,2022
925,Brabourne - CCI ,Delhi Capitals,Punjab Kings,DC   ,2022
926,DY Patil Stadium ,Lucknow Super Giants,Royal Challengers Bangalore,RCB   ,2022
927,Brabourne - CCI ,Rajasthan Royals,Kolkata Knight Riders,RR   ,2022
928,Maharashtra Cricket Association Stadium ,Gujarat Titans,Chennai Super Kings,GT   ,2022
929,DY Patil Stadium ,Punjab Kings,Sunrisers Hyderabad,SRH   ,2022
930,Wankhede Stadium ,Delhi Capitals,Royal Challengers Bangalore,RCB   ,2022
931,Brabourne - CCI ,Mumbai Indians,Lucknow Super Giants,LSG   ,2022
932,Brabourne - CCI ,Sunrisers Hyderabad,Kolkata Knight Riders,SRH   ,2022
933,DY Patil Stadium ,Rajasthan Royals,Gujarat Titans,GT   ,2022
934,Maharashtra Cricket Association Stadium ,Mumbai Indians,Punjab Kings,PBKS   ,2022
935,DY Patil Stadium ,Chennai Super Kings,Royal Challengers Bangalore,CSK   ,2022
936,DY Patil Stadium ,Sunrisers Hyderabad,Gujarat Titans,SRH   ,2022
937,Wankhede Stadium ,Rajasthan Royals,Lucknow Super Giants,RR   ,2022
938,Brabourne - CCI ,Kolkata Knight Riders,Delhi Capitals,DC   ,2022
939,Maharashtra Cricket Association Stadium ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2022
940,DY Patil Stadium ,Chennai Super Kings,Sunrisers Hyderabad,SRH   ,2022
941,Brabourne - CCI ,Punjab Kings,Gujarat Titans,GT   ,2022
942,DY Patil Stadium ,Lucknow Super Giants,Delhi Capitals,LSG   ,2022
943,Maharashtra Cricket Association Stadium ,Kolkata Knight Riders,Mumbai Indians,KKR   ,2022
944,Wankhede Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2022
945,DY Patil Stadium ,Sunrisers Hyderabad,Lucknow Super Giants,LSG   ,2022
946,Brabourne - CCI ,Chennai Super Kings,Punjab Kings,PBKS   ,2022
947,Maharashtra Cricket Association Stadium ,Gujarat Titans,Delhi Capitals,GT   ,2022
948,DY Patil Stadium ,Mumbai Indians,Rajasthan Royals,RR   ,2022
949,Wankhede Stadium ,Kolkata Knight Riders,Punjab Kings,KKR   ,2022
950,Brabourne - CCI ,Lucknow Super Giants,Chennai Super Kings,LSG   ,2022
951,DY Patil Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,RCB   ,2022
952,Maharashtra Cricket Association Stadium ,Sunrisers Hyderabad,Rajasthan Royals,RR   ,2022
953,Wankhede Stadium ,Gujarat Titans,Lucknow Super Giants,GT   ,2022
954,DY Patil Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2022
955,Brabourne - CCI ,Delhi Capitals,Mumbai Indians,DC   ,2022
956,Wankhede Stadium ,Chennai Super Kings,Kolkata Knight Riders,KKR   ,2022
957,Narendra Modi Stadium ,Chennai Super Kings,Gujarat Titans,CSK   ,2023
958,Narendra Modi Stadium ,Gujarat Titans,Mumbai Indians,GT   ,2023
959,MA Chidambaram Stadium ,Lucknow Super Giants,Mumbai Indians,MI   ,2023
960,MA Chidambaram Stadium ,Gujarat Titans,Chennai Super Kings,CSK   ,2023
961,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Gujarat Titans,GT   ,2023
962,Wankhede Stadium ,Mumbai Indians,Sunrisers Hyderabad,MI   ,2023
963,Eden Gardens ,Kolkata Knight Riders,Lucknow Super Giants,LSG   ,2023
964,Arun Jaitley Stadium ,Delhi Capitals,Chennai Super Kings,CSK   ,2023
965,Himachal Pradesh Cricket Association Stadium ,Punjab Kings,Rajasthan Royals,RR   ,2023
966,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Royal Challengers Bangalore,RCB   ,2023
967,Himachal Pradesh Cricket Association Stadium ,Punjab Kings,Delhi Capitals,DC   ,2023
968,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Mumbai Indians,LSG   ,2023
969,Narendra Modi Stadium ,Gujarat Titans,Sunrisers Hyderabad,GT   ,2023
970,MA Chidambaram Stadium ,Chennai Super Kings,Kolkata Knight Riders,KKR   ,2023
971,Sawai Mansingh Stadium ,Rajasthan Royals,Royal Challengers Bangalore,RCB   ,2023
972,Arun Jaitley Stadium ,Delhi Capitals,Punjab Kings,PBKS   ,2023
973,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Lucknow Super Giants,LSG   ,2023
974,Wankhede Stadium ,Mumbai Indians,Gujarat Titans,MI   ,2023
975,Eden Gardens ,Kolkata Knight Riders,Rajasthan Royals,RR   ,2023
976,MA Chidambaram Stadium ,Chennai Super Kings,Delhi Capitals,CSK   ,2023
977,Wankhede Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2023
978,Eden Gardens ,Kolkata Knight Riders,Punjab Kings,KKR   ,2023
979,Sawai Mansingh Stadium ,Rajasthan Royals,Sunrisers Hyderabad,SRH   ,2023
980,Narendra Modi Stadium ,Gujarat Titans,Lucknow Super Giants,GT   ,2023
981,Arun Jaitley Stadium ,Delhi Capitals,Royal Challengers Bangalore,DC   ,2023
982,MA Chidambaram Stadium ,Chennai Super Kings,Mumbai Indians,CSK   ,2023
983,Sawai Mansingh Stadium ,Rajasthan Royals,Gujarat Titans,GT   ,2023
984,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,KKR   ,2023
985,Punjab Cricket Association IS Bindra Stadium ,Punjab Kings,Mumbai Indians,MI   ,2023
986,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Chennai Super Kings,No Result,2023
987,Narendra Modi Stadium ,Gujarat Titans,Delhi Capitals,DC   ,2023
988,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Royal Challengers Bangalore,RCB   ,2023
989,Wankhede Stadium ,Mumbai Indians,Rajasthan Royals,MI   ,2023
990,MA Chidambaram Stadium ,Chennai Super Kings,Punjab Kings,PBKS   ,2023
991,Arun Jaitley Stadium ,Delhi Capitals,Sunrisers Hyderabad,SRH   ,2023
992,Eden Gardens ,Kolkata Knight Riders,Gujarat Titans,GT   ,2023
993,Punjab Cricket Association IS Bindra Stadium ,Punjab Kings,Lucknow Super Giants,LSG   ,2023
994,Sawai Mansingh Stadium ,Rajasthan Royals,Chennai Super Kings,RR   ,2023
995,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2023
996,Narendra Modi Stadium ,Gujarat Titans,Mumbai Indians,GT   ,2023
997,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Delhi Capitals,DC   ,2023
998,Eden Gardens ,Kolkata Knight Riders,Chennai Super Kings,CSK   ,2023
999,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Rajasthan Royals,RCB   ,2023
1000,Wankhede Stadium ,Mumbai Indians,Punjab Kings,PBKS   ,2023
1001,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Gujarat Titans,GT   ,2023
1002,MA Chidambaram Stadium ,Chennai Super Kings,Sunrisers Hyderabad,CSK   ,2023
1003,Arun Jaitley Stadium ,Delhi Capitals,Kolkata Knight Riders,DC   ,2023
1004,Punjab Cricket Association IS Bindra Stadium ,Punjab Kings,Royal Challengers Bangalore,RCB   ,2023
1005,Sawai Mansingh Stadium ,Rajasthan Royals,Lucknow Super Giants,LSG   ,2023
1006,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Mumbai Indians,MI   ,2023
1007,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Chennai Super Kings,CSK   ,2023
1008,Narendra Modi Stadium ,Gujarat Titans,Rajasthan Royals,RR   ,2023
1009,Wankhede Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2023
1010,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Punjab Kings,PBKS   ,2023
1011,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Delhi Capitals,RCB   ,2023
1012,Eden Gardens ,Kolkata Knight Riders,Sunrisers Hyderabad,SRH   ,2023
1013,Punjab Cricket Association IS Bindra Stadium ,Punjab Kings,Gujarat Titans,GT   ,2023
1014,MA Chidambaram Stadium ,Chennai Super Kings,Rajasthan Royals,RR   ,2023
1015,Arun Jaitley Stadium ,Delhi Capitals,Mumbai Indians,MI   ,2023
1016,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Lucknow Super Giants,LSG   ,2023
1017,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Punjab Kings,SRH   ,2023
1018,Narendra Modi Stadium ,Gujarat Titans,Kolkata Knight Riders,KKR   ,2023
1019,Wankhede Stadium ,Mumbai Indians,Chennai Super Kings,CSK   ,2023
1020,Barsapara Cricket Stadium ,Rajasthan Royals,Delhi Capitals,RR   ,2023
1021,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Sunrisers Hyderabad,LSG   ,2023
1022,Eden Gardens ,Kolkata Knight Riders,Royal Challengers Bangalore,KKR   ,2023
1023,Barsapara Cricket Stadium ,Rajasthan Royals,Punjab Kings,PBKS   ,2023
1024,Arun Jaitley Stadium ,Delhi Capitals,Gujarat Titans,GT   ,2023
1025,MA Chidambaram Stadium ,Chennai Super Kings,Lucknow Super Giants,CSK   ,2023
1026,M Chinnaswamy Stadium ,Royal Challengers Bangalore,Mumbai Indians,RCB   ,2023
1027,Rajiv Gandhi International Stadium ,Sunrisers Hyderabad,Rajasthan Royals,RR   ,2023
1028,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium ,Lucknow Super Giants,Delhi Capitals,LSG   ,2023
1029,Punjab Cricket Association IS Bindra Stadium ,Punjab Kings,Kolkata Knight Riders,PBKS   ,2023
1030,Narendra Modi Stadium ,Gujarat Titans,Chennai Super Kings,GT   ,2023
